v2,V(vgs),Id(J1)
-1.390000000000085e+000,-1.390000e+000,9.602880e-011
-1.380000000000085e+000,-1.380000e+000,1.007857e-010
-1.370000000000085e+000,-1.370000e+000,1.056732e-010
-1.360000000000085e+000,-1.360000e+000,1.106913e-010
-1.350000000000085e+000,-1.350000e+000,1.158400e-010
-1.340000000000085e+000,-1.340000e+000,1.211193e-010
-1.330000000000085e+000,-1.330000e+000,1.265292e-010
-1.320000000000085e+000,-1.320000e+000,1.320697e-010
-1.310000000000085e+000,-1.310000e+000,1.377408e-010
-1.300000000000085e+000,-1.300000e+000,1.435425e-010
-1.290000000000085e+000,-1.290000e+000,1.494748e-010
-1.280000000000085e+000,-1.280000e+000,1.555377e-010
-1.270000000000085e+000,-1.270000e+000,1.617312e-010
-1.260000000000085e+000,-1.260000e+000,1.680553e-010
-1.250000000000085e+000,-1.250000e+000,1.745100e-010
-1.240000000000085e+000,-1.240000e+000,1.810953e-010
-1.230000000000085e+000,-1.230000e+000,1.878112e-010
